id,class,subject,topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
127,8,Social Science,History - Rural Life and Society,medium,"The Blue Rebellion (Neel Bidroha) in Bengal was a revolt by _____.",Zamindars,Indigo cultivators,Tribals,Sepoys,B,"The revolt was by the farmers against the British planters who forced them to grow indigo."
128,8,Social Science,Geography - Industries,medium,"Which city is known as the 'Manchester of India'?",Mumbai,Coimbatore,Ahmedabad,Kanpur,C,"Ahmedabad was a major hub for cotton textile mills, similar to Manchester in England."
129,8,Social Science,Civics - Judiciary,easy,"The highest court of appeal in India is the _____.",High Court,District Court,Supreme Court,Lok Adalat,C,"The Supreme Court is the final interpreter of the Constitution and the highest judicial forum."
130,8,Social Science,History - The Great Revolt of 1857,hard,"Where did the Revolt of 1857 first break out?",Delhi,Meerut,Kanpur,Lucknow,B,"The rebellion began on 10 May 1857 in the form of a mutiny of sepoys of the Company's army in Meerut."
131,8,English,Prose - The Nose-Jewel,easy,"Who was the author of the story 'The Nose-Jewel'?",Rabindranath Tagore,R.K. Narayan,C. Rajagopalachari,Mulk Raj Anand,C,"C. Rajagopalachari, also known as Rajaji, wrote this story."
132,8,English,Grammar - Tenses,medium,"Choose the correct form: 'The earth _____ around the sun.'",move,moves,moved,is moving,B,"Simple present tense is used for universal truths and facts."
133,8,English,Poem - My Hobby: Reading,easy,"According to the poem, what does a hobby do?",Makes us sad,Keeps us idle,Keeps us happy,Makes us tired,C,"The poem suggests that a hobby is a joyful activity that keeps us occupied and happy."
134,8,English,Vocabulary,easy,"What is the synonym for 'beautiful'?",Ugly,Pretty,Dark,Rough,B,"'Pretty' and 'beautiful' are words used to describe something attractive."
135,8,English,Grammar - Prepositions,medium,"Fill in the blank: 'The cat jumped _____ the wall.'",in,on,over,at,C,"'Over' is used to show movement from one side to another, above something."
136,8,English,Supplementary - The Woman on Platform 8,medium,"In the story, who did Arun mistake the woman for?",His mother,His aunt,His teacher,A stranger,A,"Arun initially thought the kind woman was his mother."
137,8,English,Grammar - Conjunctions,easy,"Which conjunction fits here: 'He is slow, _____ he is steady.'",and,or,but,so,C,"'But' is used to connect two contrasting qualities."
138,8,English,Prose - Sir Isaac Newton,medium,"Sir Isaac Newton is famous for his law of _____.",Motion,Gravity,Electricity,Relativity,B,"The story of the falling apple leading to the discovery of the law of universal gravitation is famous."
139,8,English,Vocabulary,hard,"What is the antonym for 'friend'?",Relative,Partner,Enemy,Companion,C,"An enemy is a person who is actively opposed or hostile to someone or something."
140,8,English,Grammar - Reported Speech,hard,"Change to reported speech: He said, 'I am busy.'",He said that he is busy.,He said that he was busy.,He said I was busy.,He says he was busy.,B,"In reported speech, the present tense 'am' changes to the past tense 'was'."
141,8,Tamil,செய்யுள் - தமிழ்மொழி வாழ்த்து,easy,"'தமிழ்மொழி வாழ்த்து' பாடலை இயற்றியவர் யார்?",பாரதியார்,பாரதிதாசன்,கவிமணி,நாமக்கல் கவிஞர்,A,"மகாகவி சுப்பிரமணிய பாரதியார் 'வாழ்க நிரந்தரம் வாழ்க தமிழ்மொழி' எனத் தொடங்கும் வாழ்த்துப் பாடலை இயற்றினார்."
142,8,Tamil,இலக்கணம் - எழுத்துகளின் பிறப்பு,easy,"'க்', 'ங்' ஆகிய மெய்யெழுத்துகள் எங்கிருந்து பிறக்கின்றன?",நாக்கின் அடி,நாக்கின் இடை,நாக்கின் நுனி,இதழ்கள்,A,"ககர, ஙகர மெய் எழுத்துகள் நாவின் முதல் பகுதி, அண்ணத்தின் அடிப்பகுதியைப் பொருந்துவதால் பிறக்கின்றன."
143,8,Tamil,உரைநடை - தமிழ் வரிவடிவ வளர்ச்சி,medium,"ஓலைச்சுவடிகளில் நேர்க்கோடுகளைப் பயன்படுத்தாமைக்குக் காரணம் என்ன?",அழகுக்காக,எழுதுவது கடினம்,ஓலை கிழியும்,மரபு இல்லை,C,"ஓலைச்சுவடிகளில் நேர்க்கோடுகளையும் புள்ளிகளையும் எழுதுவது கடினம் என்பதால், அவை கிழிந்துவிடும் என்பதால் தவிர்த்தனர்."
144,8,Tamil,செய்யுள் - திருக்கேதாரம்,easy,"'திருக்கேதாரம்' பதிகத்தைப் பாடியவர் யார்?",திருஞானசம்பந்தர்,திருநாவுக்கரசர்,சுந்தரர்,மாணிக்கவாசகர்,C,"தேவாரம் பாடிய மூவருள் ஒருவரான சுந்தரர், திருக்கேதாரத்தைப் பற்றிய பதிகத்தைப் பாடியுள்ளார்."
145,8,Tamil,இலக்கணம் - வினைமுற்று,medium,"ஒரு செயல் முடிவடைந்ததைக் காட்டும் சொல் _____ எனப்படும்.",பெயர்ச்சொல்,வினைச்சொல்,வினைமுற்று,வினையெச்சம்,C,"பொருள் முற்றுப் பெற்ற வினைச்சொற்களை 'முற்றுவினை' அல்லது 'வினைமுற்று' என்பர்."
146,8,Tamil,துணைப்பாடம் - நாட்டுப்புறக் கைவினைக் கலைகள்,easy,"பனையோலையால் செய்யப்படும் அலங்காரப் பொருள் எது?",பாய்,கூடை,விசிறி,தொப்பி,C,"பனை ஓலையைக் கொண்டு குழந்தைகள் விளையாடுவதற்கான விசிறி, பொம்மைகள் போன்றவை செய்யப்படுகின்றன."
147,8,Tamil,உரைநடை - நோயும் மருந்தும்,medium,"'உடல் எடை அதிகரிப்பதால் ஏற்படும் நோய்களுள் ஒன்று _____.",இரத்தசோகை,சர்க்கரை நோய்,தலைவலி,காய்ச்சல்,B,"மாறிய உணவுப் பழக்கத்தால் உடல் எடை அதிகரித்து, சர்க்கரை நோய், இரத்தக்கொதிப்பு போன்றவை ஏற்படுகின்றன."
148,8,Tamil,செய்யுள் - வருமுன் காப்போம்,hard,"'வருமுன் காப்போம்' என்ற தலைப்பில் உடல்நலம் பேணும் பாடலை எழுதியவர் யார்?",பாரதியார்,கவிமணி தேசிக விநாயகம்,பாரதிதாசன்,சுரதா,B,"'உடலின் உறுதி உடையவரே உலகில் இன்பம் உடையவராம்' எனப் பாடியவர் கவிமணி தேசிக விநாயகம்."
149,8,Tamil,இலக்கணம் - எச்சம்,easy,"பொருள் முற்றுப் பெறாமல் எஞ்சி நிற்கும் சொல் _____ எனப்படும்.",முற்று,எச்சம்,வினை,பெயர்,B,"பொருள் முற்றுப் பெறாமல், başka ஒரு சொல்லை எதிர்பார்த்து நிற்கும் சொல் எச்சம் எனப்படும்."
150,8,Tamil,திருக்குறள்,medium,"'பண்புடையார்ப் பட்டுண்டு உலகம்' - இதில் 'பட்டு' என்பதன் பொருள் என்ன?",ஆடை,வழி,நட்பு,இருப்பதால்,D,"பண்புடையவர்கள் இருப்பதால் தான் இவ்வுலகம் இன்னும் இயங்கிக்கொண்டிருக்கிறது என்பது இக்குறளின் பொருள்."
151,9,Mathematics,Set Language,easy,"A set with no elements is called a/an _____.",Singleton set,Universal set,Empty set,Finite set,C,"An empty set, or null set, is a set that contains no elements. It is denoted by {} or ø."
152,9,Mathematics,Real Numbers,medium,"Which of the following is an irrational number?",√25,√16,√8,2/3,C,"√8 cannot be expressed as a simple fraction, making it an irrational number."
153,9,Mathematics,Algebra,medium,"What is the degree of the polynomial 7x³ - 5x⁴ + 2x + 9?",3,4,2,1,B,"The degree of a polynomial is the highest exponent of its variables. Here, it is 4."
154,9,Mathematics,Geometry,easy,"The longest chord of a circle is its _____.",Radius,Diameter,Tangent,Secant,B,"The diameter passes through the center of the circle and is the longest possible chord."
155,9,Mathematics,Coordinate Geometry,medium,"The point where the x-axis and y-axis intersect is called the _____.",Origin,Quadrant,Abscissa,Ordinate,A,"The origin is the point (0,0) on the Cartesian plane."
156,9,Mathematics,Trigonometry,medium,"In a right-angled triangle, the ratio of the opposite side to the hypotenuse is called _____.",sin θ,cos θ,tan θ,cot θ,A,"The sine of an angle (sin θ) is defined as the ratio of the length of the opposite side to the length of the hypotenuse."
157,9,Mathematics,Mensuration,medium,"What is the total surface area of a cube with side 'a'?",a²,4a²,6a²,a³,C,"A cube has 6 square faces, each with an area of a². So, the total surface area is 6a²."
158,9,Mathematics,Statistics,easy,"The most frequently occurring value in a data set is called the _____.",Mean,Median,Mode,Range,C,"The mode is the value that appears most often in a set of data values."
159,9,Mathematics,Probability,hard,"When a single die is rolled, what is the probability of getting a prime number?",1/2,1/3,2/3,1/6,A,"The possible outcomes are {1,2,3,4,5,6}. The prime numbers are {2,3,5}. Probability = 3/6 = 1/2."
160,9,Mathematics,Algebra,hard,"What are the roots of the quadratic equation x² - 5x + 6 = 0?",2, 3,-2, -3,2, -3,-2, 3,A,"Factoring the equation gives (x-2)(x-3) = 0. Therefore, the roots are x=2 and x=3."
161,9,Science,Measurement,easy,"The SI unit of temperature is _____.",Celsius,Fahrenheit,Kelvin,Joule,C,"Kelvin (K) is the base unit of temperature in the International System of Units (SI)."
162,9,Science,Motion,medium,"The rate of change of velocity is called _____.",Speed,Displacement,Acceleration,Momentum,C,"Acceleration is a vector quantity, meaning it has both magnitude and direction."
163,9,Science,Atomic Structure,medium,"The particles in the nucleus of an atom are _____.",Electrons and protons,Protons and neutrons,Electrons and neutrons,Only electrons,B,"The nucleus is the dense, central part of an atom, composed of protons and neutrons."
164,9,Science,Acids, Bases and Salts,easy,"Litmus paper turns _____ in an acidic solution.",Blue to red,Red to blue,Remains red,Remains blue,A,"Acids turn blue litmus paper red."
165,9,Science,Sound,medium,"The audible range of frequency for humans is _____.",Below 20 Hz,20 Hz to 20,000 Hz,Above 20,000 Hz,10 Hz to 10,000 Hz,B,"Frequencies below 20 Hz are infrasonic, and above 20,000 Hz are ultrasonic."
166,9,Science,Universe,easy,"Which planet is known as the 'Red Planet'?",Venus,Mars,Jupiter,Saturn,B,"Mars is called the Red Planet because of the iron oxide (rust) on its surface."
167,9,Science,Plant Kingdom,medium,"Which of these is a non-flowering plant?",Mango,Hibiscus,Fern,Rose,C,"Ferns are part of the Pteridophytes group and reproduce via spores, not flowers."
168,9,Science,Work and Energy,hard,"The energy possessed by a body due to its motion is called _____.",Potential energy,Kinetic energy,Chemical energy,Heat energy,B,"Kinetic energy is calculated as KE = ½mv², where m is mass and v is velocity."
169,9,Science,Carbon,easy,"The hardest naturally occurring substance is _____.",Graphite,Diamond,Coal,Coke,B,"Diamond's hardness is due to its strong covalent bonds in a crystal lattice structure."
170,9,Science,Animal Kingdom,medium,"Which of the following is a cold-blooded animal?",Human,Dog,Frog,Bird,C,"Frogs are amphibians, and their body temperature varies with the environment."
171,9,Social Science,History - Evolution of Humans,easy,"Early humans used _____ to make tools.",Wood,Stone,Metal,Plastic,B,"The Stone Age is named after the primary material used for making tools."
172,9,Social Science,Geography - The Earth,easy,"The movement of the Earth on its axis is called _____.",Revolution,Rotation,Orbit,Eclipse,B,"Rotation causes day and night and takes approximately 24 hours to complete."
173,9,Social Science,Civics - Forms of Government,easy,"A government 'of the people, by the people, for the people' is called a _____.",Monarchy,Dictatorship,Aristocracy,Democracy,D,"This famous definition of democracy was given by Abraham Lincoln."
174,9,Social Science,Economics - Understanding Development,medium,"Which of the following is a measure of a country's development?",Per Capita Income,Population,Area,Literacy Rate,A,"Per Capita Income (average income per person) is a key indicator of economic development."
175,9,Social Science,History - Ancient Civilizations,medium,"The Mesopotamian Civilization flourished between which two rivers?",Nile and Congo,Tigris and Euphrates,Indus and Ganges,Yellow and Yangtze,B,"Mesopotamia means 'land between the rivers' in Greek."
176,9,Social Science,Geography - Lithosphere,medium,"The molten rock material inside the Earth is called _____.",Lava,Magma,Core,Crust,B,"When magma erupts onto the Earth's surface, it is called lava."
177,9,Social Science,Civics - Election and Political Parties,medium,"The minimum age for a citizen to vote in India is _____ years.",16,18,21,25,B,"The 61st Amendment Act of 1989 lowered the voting age from 21 to 18 years."
178,9,Social Science,History - The Post-Mauryan India,hard,"Who wrote the famous Sanskrit play 'Shakuntala'?",Banabhatta,Kalidasa,Harisena,Vishakhadatta,B,"Kalidasa is often considered ancient India's greatest playwright and dramatist."
179,9,Social Science,Economics - Money and Credit,easy,"The modern form of money includes _____.",Barter goods,Cattle,Paper notes and coins,Grains,C,"Modern currency is authorized by the government of the country."
180,9,Social Science,Geography - Hydrosphere,easy,"The largest ocean in the world is the _____ Ocean.",Atlantic,Indian,Arctic,Pacific,D,"The Pacific Ocean is the largest and deepest of the world's five oceans."
181,9,English,Prose - Learning the Game,easy,"'Learning the Game' is an extract from the autobiography of which cricketer?",Kapil Dev,Sunil Gavaskar,Sachin Tendulkar,Rahul Dravid,C,"This chapter is from Sachin Tendulkar's autobiography, 'Playing It My Way'."
182,9,English,Grammar - Sentence Patterns,medium,"Identify the pattern of the sentence: 'He gave me a pen.'",SVO,SVA,SVOC,SVIODO,D,"S-Subject (He), V-Verb (gave), IO-Indirect Object (me), DO-Direct Object (a pen)."
183,9,English,Poem - The Spider and the Fly,medium,"In the poem, what does the Fly find 'handsome' about the Spider?",His eyes,His web,His wings,His coat,A,"'Your eyes are like the diamond bright,' says the flattering Spider to himself."
184,9,English,Vocabulary,easy,"What is the synonym for 'enormous'?",Tiny,Small,Weak,Huge,D,"'Enormous' and 'huge' both mean extremely large."
185,9,English,Grammar - Question Tags,medium,"Add a suitable question tag: 'You are a student, _____?'",are you,is you,aren't you,isn't you,C,"For a positive statement with 'are', the negative tag 'aren't you?' is used."
186,9,English,Supplementary - The Fun They Had,medium,"In the story 'The Fun They Had', where did Margie find the 'real book'?",In the library,In the attic,In the school,On the street,B,"Tommy found the real book in the attic of his house."
187,9,English,Grammar - Articles,easy,"Fill in the blank: 'I bought _____ new car.'",a,an,the,no article,A,"'A' is used before a singular noun beginning with a consonant sound."
188,9,English,Prose - The Tempest,hard,"'The Tempest' is a famous play written by _____.",Charles Dickens,William Wordsworth,John Keats,William Shakespeare,D,"The Tempest is one of the last plays written by the famous English playwright William Shakespeare."
189,9,English,Vocabulary,medium,"What is the antonym for 'victory'?",Success,Triumph,Win,Defeat,D,"'Defeat' means to lose a battle or contest, the opposite of victory."
190,9,English,Grammar - Active/Passive Voice,hard,"Change to passive voice: 'The cat killed the mouse.'",The mouse was killed by the cat.,The mouse is killed by the cat.,The cat was killed by the mouse.,The mouse killed the cat.,A,"The object 'the mouse' becomes the subject, and the verb changes to 'was killed'."
191,9,Tamil,செய்யுள் - திராவிட மொழிக்குடும்பம்,easy,"தமிழ், தெலுங்கு, கன்னடம், மலையாளம் ஆகிய மொழிகள் எந்த மொழிக்குடும்பத்தைச் சேர்ந்தவை?",இந்தோ-ஆரிய,திராவிட,சீனோ-திபெத்திய,ஆஸ்திரோ-ஆசிய,B,"இவை தென்னிந்தியாவில் பேசப்படும் प्रमुख திராவிட மொழிகள் ஆகும்."
192,9,Tamil,இலக்கணம் - தொடர் இலக்கணம்,medium,"'குமரன் பள்ளிக்குச் சென்றான்.' - இது எவ்வகைத் தொடர்?",செய்தித் தொடர்,வினாத் தொடர்,உணர்ச்சித் தொடர்,கட்டளைத் தொடர்,A,"ஒரு செய்தியைத் தெளிவாகக் கூறும் தொடர் செய்தித் தொடர் எனப்படும்."
193,9,Tamil,உரைநடை - பெரியாரின் சிந்தனைகள்,medium,"'திராவிட நாட்டின் வானம்பாடி' என்று பாராட்டப்பட்டவர் யார்?",பாரதியார்,பாரதிதாசன்,முடியரசன்,பட்டுக்கோட்டை கல்யாணசுந்தரம்,C,"கவிஞர் முடியரசன் தனது கவிதைகளுக்காகப் பாராட்டப்பட்டார்."
194,9,Tamil,செய்யுள் - மணிமேகலை,easy,"'மணிமேகலை' காப்பியத்தின் ஆசிரியர் யார்?",இளங்கோவடிகள்,சீத்தலைச் சாத்தனார்,திருத்தக்கதேவர்,நாதகுத்தனார்,B,"மணிமேகலை, ஐம்பெருங் காப்பியங்களில் ஒன்று, இதன் ஆசிரியர் சீத்தலைச் சாத்தனார்."
195,9,Tamil,இலக்கணம் - வல்லினம் மிகும் இடங்கள்,medium,"இரண்டாம் வேற்றுமை உருபு 'ஐ' வெளிப்படையாக வரும் இடத்தில் வல்லினம் _____.",மிகாது,மிகும்,சில சமயம் மிகும்,மாறும்,B,"'கதவைத் திற' - இங்கே 'த்' என்ற வல்லின எழுத்து மிகுந்துள்ளது."
196,9,Tamil,துணைப்பாடம் - அகழாய்வுகள்,easy,"கீழடி அகழாய்வு எந்த மாவட்டத்துடன் தொடர்புடையது?",மதுரை,சிவகங்கை,திருநெல்வேலி,விருதுநகர்,B,"கீழடி, சங்க காலத்தைச் சேர்ந்த ஒரு நகர நாகரிகத்தின் சான்றாக சிவகங்கை மாவட்டத்தில் கண்டறியப்பட்டுள்ளது."
197,9,Tamil,உரைநடை - இயந்திரங்களும் இணையவழிப் பயன்பாடும்,easy,"E-commerce என்பதன் தமிழாக்கம் என்ன?",மின்னணுவியல்,மின்னணு அஞ்சல்,மின்னணு வணிகம்,மின்னணு நூலகம்,C,"E-commerce என்பது இணையம் வழியாகப் பொருட்களை வாங்குவதும் விற்பதும் ஆகும், இது மின்னணு வணிகம் எனப்படும்."
198,9,Tamil,செய்யுள் - ஓய்வறச் செய்திகள்,hard,"'சிற்பியின் மகள்' என்ற நூலின் ஆசிரியர் யார்?",கலாப்ரியா,சிற்பி பாலசுப்பிரமணியம்,ஞானக்கூத்தன்,தேவதேவன்,B,"கவிஞர் சிற்பி பாலசுப்பிரமணியம், சாகித்திய அகாதமி விருது பெற்றவர்."
199,9,Tamil,இலக்கணம் - யாப்பிலக்கணம்,medium,"மூன்று சீர்களைக் கொண்டு அமையும் அடி _____ எனப்படும்.",குறளடி,சிந்தடி,அளவடி,நெடிலடி,B,"குறளடி (இரு சீர்), சிந்தடி (முச் சீர்), அளவடி (நாற் சீர்), நெடிலடி (ஐந்து சீர்), கழிநெடிலடி (ஐந்திற்கும் மேற்பட்ட சீர்கள்)."
200,9,Tamil,திருக்குறள்,medium,"'உள்ளத்தால் உள்ளலும் தீதே பிறன்பொருளைக் கள்ளத்தால் கள்வேம் எனல்' - இக்குறள் எந்த அதிகாரத்தைச் சேர்ந்தது?",வெஃகாமை,கள்ளாமை,கூடா நட்பு,புலால் மறுத்தல்,A,"அடுத்தவர் பொருளைக் கவர நினப்பது கூடத் தவறு என்று கூறும் இக்குறள் வெஃகாமை அதிகாரத்தில் உள்ளது."
201,10,Mathematics,Relations and Functions,easy,"If f(x) = 2x + 1, what is the value of f(3)?",5,6,7,8,C,"f(3) = 2(3) + 1 = 6 + 1 = 7."
202,10,Mathematics,Numbers and Sequences,medium,"What is the next term in the Arithmetic Progression 3, 7, 11, 15, ...?",18,19,20,21,B,"The common difference is 4. So, the next term is 15 + 4 = 19."
203,10,Mathematics,Algebra,medium,"What is the sum of the roots of the quadratic equation x² - 6x + 5 = 0?",-6,6,5,-5,B,"For a quadratic equation ax²+bx+c=0, the sum of the roots is -b/a. Here, -(-6)/1 = 6."
204,10,Mathematics,Geometry,hard,"In a right-angled triangle, if the two sides are 3 cm and 4 cm, what is the length of the hypotenuse?",5 cm,6 cm,7 cm,2.5 cm,A,"By Pythagoras theorem, hypotenuse² = 3² + 4² = 9 + 16 = 25. So, hypotenuse = √25 = 5 cm."
205,10,Mathematics,Coordinate Geometry,medium,"What is the slope of the line passing through the points (2,3) and (4,7)?",1,2,3,4,B,"Slope m = (y₂-y₁)/(x₂-x₁) = (7-3)/(4-2) = 4/2 = 2."
206,10,Mathematics,Trigonometry,medium,"What is the value of tan 45°?",0,1,√3,1/√3,B,"The value of tan 45 degrees is 1."
207,10,Mathematics,Mensuration,medium,"What is the volume of a sphere with radius 'r'?",(4/3)πr³,(1/3)πr²,πr²,2πr,A,"The formula for the volume of a sphere is (4/3)πr³."
208,10,Mathematics,Statistics and Probability,easy,"The probability of a sure event is _____.",0,1,0.5,-1,B,"A sure event is an event that will always happen, so its probability is 1."
209,10,Mathematics,Algebra,hard,"If A is a 2x3 matrix and B is a 3x2 matrix, then the order of the matrix AB is _____.",2x2,3x3,2x3,3x2,A,"The resulting matrix will have the number of rows of the first matrix and the number of columns of the second matrix."
210,10,Mathematics,Geometry,medium,"If two triangles are similar, their corresponding sides are _____.",Equal,Parallel,Perpendicular,Proportional,D,"Similarity of triangles means that the ratio of their corresponding sides is constant."
211,10,Science,Laws of Motion,medium,"Inertia of a body depends on its _____.",Velocity,Acceleration,Mass,Shape,C,"Mass is the measure of inertia. The greater the mass, the greater the inertia."
212,10,Science,Optics,easy,"The lens used to correct myopia (short-sightedness) is a _____ lens.",Convex,Concave,Bifocal,Cylindrical,B,"A concave lens diverges light rays, helping to focus the image on the retina."
213,10,Science,Thermal Physics,easy,"The SI unit of heat energy is _____.",Kelvin,Celsius,Watt,Joule,D,"Joule is the standard unit of energy in the SI system."
214,10,Science,Electricity,medium,"Ohm's law states the relationship between _____.",V, I, R,V, I, P,I, R, P,V, R, P,A,"Ohm's law is stated as V = IR, where V is voltage, I is current, and R is resistance."
215,10,Science,Acoustics,medium,"The speed of sound is maximum in _____.",Solids,Liquids,Gases,Vacuum,A,"Sound travels fastest through solids because the molecules are packed closely together."
216,10,Science,Atomic and Nuclear Physics,hard,"The phenomenon of radioactivity was discovered by _____.",Marie Curie,Pierre Curie,Henri Becquerel,J.J. Thomson,C,"Henri Becquerel discovered radioactivity in 1896."
217,10,Science,Periodic Classification of Elements,medium,"The vertical columns in the modern periodic table are called _____.",Periods,Groups,Series,Rows,B,"The horizontal rows are called periods, and the vertical columns are called groups."
218,10,Science,Chemical Reactions,easy,"The chemical name for baking soda is _____.",Sodium Chloride,Sodium Carbonate,Sodium Bicarbonate,Calcium Carbonate,C,"Sodium Bicarbonate (NaHCO₃) is commonly known as baking soda."
219,10,Science,Carbon and its Compounds,easy,"The functional group present in alcohols is _____.",-CHO,-COOH,-OH,-CO-,C,"-OH is the hydroxyl group, which is the functional group for alcohols."
220,10,Science,Plant Anatomy,medium,"The transport of food in plants is carried out by _____.",Xylem,Phloem,Cambium,Stomata,B,"Xylem transports water and minerals, while phloem transports food (sugars)."
221,10,Social Science,History - WWI,easy,"World War I began in which year?",1914,1918,1939,1945,A,"The war started in 1914 after the assassination of Archduke Franz Ferdinand."
222,10,Social Science,Geography - India Location,easy,"The southernmost tip of the Indian mainland is _____.",Indira Point,Kanyakumari,Rameswaram,Cape Comorin,B,"Kanyakumari is the southernmost tip of the mainland. Indira Point is the southernmost point of India overall."
223,10,Social Science,Civics - Indian Constitution,easy,"The Constitution of India was adopted on _____.",26th Jan 1950,15th Aug 1947,26th Nov 1949,9th Dec 1946,C,"It was adopted on 26th November 1949 and came into force on 26th January 1950."
224,10,Social Science,Economics - GDP,easy,"What is the full form of GDP?",Gross Domestic Product,Gross Domestic Price,General Domestic Product,Gross Development Product,A,"GDP is the total monetary value of all the finished goods and services produced within a country's borders."
225,10,Social Science,History - Social Transformation in Tamil Nadu,medium,"Who started the Self-Respect Movement?",C.N. Annadurai,E.V. Ramasamy,K. Kamaraj,M. Karunanidhi,B,"E.V. Ramasamy, popularly known as Periyar, started the Self-Respect Movement."
226,10,Social Science,Geography - Climate of India,medium,"The monsoon winds in India are a type of _____ winds.",Permanent,Seasonal,Local,Planetary,B,"Monsoon winds reverse their direction with the change of seasons."
227,10,Social Science,Civics - Central Government,medium,"Who is the supreme commander of the Indian Armed Forces?",The Prime Minister,The Defence Minister,The President,The Chief of Defence Staff,C,"The President of India is the supreme commander of the country's armed forces."
228,10,Social Science,Economics - Globalization,easy,"The process of rapid integration or interconnection between countries is known as _____.",Liberalization,Privatization,Globalization,Nationalization,C,"Globalization is driven by international trade and investment and aided by information technology."
229,10,Social Science,History - Freedom Struggle in Tamil Nadu,hard,"Who was the first woman to be elected as the President of the Indian National Congress?",Sarojini Naidu,Annie Besant,Indira Gandhi,Sonia Gandhi,B,"Annie Besant was elected as the INC president at the Calcutta session in 1917."
230,10,Social Science,Geography - India - Resources,medium,"Which state is the largest producer of coffee in India?",Tamil Nadu,Kerala,Andhra Pradesh,Karnataka,D,"Karnataka accounts for more than 70% of the total coffee production in India."
231,10,English,Prose - His First Flight,easy,"In 'His First Flight', what was the young seagull afraid of?",Flying,Swimming,Eating,Fighting,A,"The story is about a young seagull's fear of flying and how he overcomes it."
232,10,English,Poem - Life,medium,"What kind of journey does the poet want in the poem 'Life'?",A fast journey,A slow journey,A level journey,A rough journey,C,"The poet wants a smooth, level journey from youth to old age, without hurry or turning away from the goal."
233,10,English,Grammar - If-Clauses,medium,"Complete the sentence: If you study well, _____.",you will fail,you would pass,you will pass,you would have passed,C,"This is a Type 1 conditional sentence, expressing a real possibility."
234,10,English,Vocabulary,easy,"What is the synonym for 'courage'?",Fear,Cowardice,Bravery,Weakness,C,"'Bravery' and 'courage' both mean the quality of being ready to face danger."
235,10,English,Grammar - Articles,easy,"Fill in the blank: 'He is _____ honest man.'",a,an,the,no article,B,"'An' is used because 'honest' starts with a vowel sound (the 'h' is silent)."
236,10,English,Supplementary - The Tempest,medium,"Who is the protagonist of the play 'The Tempest'?",Ariel,Caliban,Prospero,Ferdinand,C,"Prospero, the rightful Duke of Milan, is the main character of the play."
237,10,English,Grammar - Active/Passive Voice,hard,"Change to passive voice: 'Who wrote this book?'",By whom was this book written?,By whom is this book written?,Who was written this book?,This book is written by whom?,A,"This is the correct passive form for an interrogative sentence starting with 'Who'."
238,10,English,Prose - The Last Lesson,medium,"'The Last Lesson' by Alphonse Daudet is set in the backdrop of which war?",World War I,World War II,Franco-Prussian War,American Civil War,C,"The story is set during the days of the Franco-Prussian War (1870-1871)."
239,10,English,Vocabulary,medium,"What is the antonym for 'expand'?",Stretch,Widen,Increase,Contract,D,"'Contract' means to decrease in size, number, or range, which is the opposite of 'expand'."
240,10,English,Grammar - Prepositions,easy,"Fill in the blank: 'She is good _____ mathematics.'",in,at,on,with,B,"The correct preposition to use with 'good' to indicate skill is 'at'."
241,10,Tamil,செய்யுள் - அன்னை மொழியே,easy,"'அன்னை மொழியே' என்ற கவிதையின் ஆசிரியர் யார்?",பாவலரேறு பெருஞ்சித்திரனார்,பாரதியார்,பாரதிதாசன்,வாணிதாசன்,A,"'அன்னை மொழியே' என்ற கவிதை, பெருஞ்சித்திரனாரின் 'கனிச்சாறு' தொகுப்பிலிருந்து எடுக்கப்பட்டது."
242,10,Tamil,இலக்கணம் - எழுத்து, சொல்,easy,"ஒரு எழுத்து தனித்தோ, பல எழுத்துகள் தொடர்ந்தோ பொருள் தருவது _____ எனப்படும்.",எழுத்து,சொல்,பொருள்,யாப்பு,B,"பொருள் தரும் வகையில் அமையும் எழுத்துகளின் தொகுதி சொல் எனப்படும்."
243,10,Tamil,உரைநடை - தமிழ்ச்சொல் வளம்,medium,"'மொழி ஞாயிறு' என்று அழைக்கப்படுபவர் யார்?",தெ.பொ.மீனாட்சிசுந்தரம்,தேவநேயப் பாவாணர்,மறைமலையடிகள்,திரு.வி.க.,B,"சொல்லாராய்ச்சியில் உச்சம் தொட்ட தேவநேயப் பாவாணர் 'மொழி ஞாயிறு' என்று போற்றப்படுகிறார்."
244,10,Tamil,செய்யுள் - இரட்டுற மொழிதல்,medium,"'இரட்டுற மொழிதல்' என்பதன் மற்றொரு பெயர் என்ன?",உவமை,சிலேடை,தற்குறிப்பேற்றம்,வேற்றுமை,B,"ஒரு சொல் அல்லது தொடர் இரு பொருள்பட வருவது இரட்டுற மொழிதல் அல்லது சிலேடை எனப்படும்."
245,10,Tamil,இலக்கணம் - பொது,medium,"இரு திணைகளுக்கும் பொதுவான பெயர்கள் எவை?",உயர்திணைப் பெயர்கள்,அஃறிணைப் பெயர்கள்,பொதுப் பெயர்கள்,சிறப்புப் பெயர்கள்,C,"நான், நாம், நீ, நீர் போன்றவை இரு திணைகளுக்கும் பொதுவாக வரும் பெயர்கள்."
